Date,Time,Desired Temperature,Actual Temperature,Cooler State,Heater State
2020-10-29,10:24:30.273910,25,23.12,0,1
2020-10-29,10:24:31.275376,25,23.15,0,1
2020-10-29,10:24:32.279462,25,23.18,0,1
2020-10-29,10:24:33.284576,25,23.21,0,1
2020-10-29,10:24:34.286824,25,23.24,0,1
2020-10-29,10:24:35.290652,25,23.27,0,1
2020-10-29,10:24:36.295147,25,23.3,0,1
2020-10-29,10:24:37.299425,25,23.33,0,1
2020-10-29,10:24:38.304011,25,23.36,0,1
2020-10-29,10:24:39.313448,25,23.39,0,1
2020-10-29,10:24:40.320422,25,23.42,0,1
2020-10-29,10:24:41.324480,25,23.45,0,1
2020-10-29,10:24:42.328617,25,23.48,0,1
2020-10-29,10:24:43.332451,25,23.51,0,1
2020-10-29,10:24:44.335417,25,23.54,0,1
2020-10-29,10:24:45.340098,25,23.57,0,1
2020-10-29,10:24:46.344629,25,23.6,0,1
2020-10-29,10:24:47.350254,25,23.63,0,1
2020-10-29,10:24:48.355645,25,23.66,0,1
2020-10-29,10:24:49.360220,25,23.69,0,1
2020-10-29,10:24:50.364503,25,23.72,0,1
2020-10-29,10:24:51.368494,25,23.75,0,1
2020-10-29,10:24:52.372488,25,23.78,0,1
2020-10-29,10:24:53.377647,25,23.81,0,1
2020-10-29,10:24:54.382548,25,23.84,0,1
2020-10-29,10:24:55.387393,25,23.87,0,1
2020-10-29,10:24:56.393934,25,23.9,0,1
2020-10-29,10:24:57.398419,25,23.93,0,1
2020-10-29,10:24:58.402575,25,23.96,0,1
2020-10-29,10:24:59.405866,25,23.99,0,1
2020-10-29,10:25:00.407811,25,24.02,0,1
2020-10-29,10:25:01.412074,25,24.05,0,1
2020-10-29,10:25:02.416981,25,24.08,0,1
2020-10-29,10:25:03.420182,25,24.11,0,1
2020-10-29,10:25:04.424506,25,24.14,0,1
2020-10-29,10:25:05.428433,25,24.17,0,1
2020-10-29,10:25:06.431895,25,24.2,0,1
2020-10-29,10:25:07.436785,25,24.23,0,1
2020-10-29,10:25:08.440501,25,24.26,0,1
2020-10-29,10:25:09.444503,25,24.29,0,1
2020-10-29,10:25:10.448486,25,24.32,0,1
2020-10-29,10:25:11.452492,25,24.35,0,1
2020-10-29,10:25:12.457214,25,24.38,0,1
2020-10-29,10:25:13.461745,25,24.41,0,1
2020-10-29,10:25:14.466276,25,24.44,0,1
2020-10-29,10:25:15.470265,25,24.47,0,1
2020-10-29,10:25:16.476154,25,24.5,0,1
2020-10-29,10:25:17.480404,25,24.53,0,1
